region_id,region,region_exec,measure_wall_ms,resctrl_wall_ms,delta_wall_ms,measure_max_thread_ms,resctrl_max_thread_ms,delta_max_thread_ms,measure_mean_thread_ms,resctrl_mean_thread_ms,delta_mean_thread_ms,measure_imbalance_ms,resctrl_imbalance_ms,delta_imbalance_ms,measure_llc_miss_rate,resctrl_llc_miss_rate,delta_llc_miss_rate_pct_point,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_threads
2,heat_update,100,176.79815700000108,186.67159299999912,9.873435999998037,175.18267,178.844866,3.6621959999999945,116.61652281250001,124.3086586875,7.692135874999991,116.48473200000001,102.06503699999999,-14.419695000000019,0.7559498582439084,0.7638222513240238,0.7872393080115447,72.5,40.0,100.0,16
3,importance,100,0.29332500000236905,0.37445600000137347,0.08113099999900442,0.292811,0.373614,0.08080300000000001,0.2086046875,0.230570875,0.021966187500000012,0.173007,0.248981,0.07597400000000001,0.6967050416832076,0.7019078012207698,0.5202759537562218,77.5,50.0,100.0,0
4,mark_refine,100,0.031664999998611165,0.039863999998488,0.008198999999876833,0.02997,0.035296,0.005326000000000001,0.02287225,0.0249190625,0.0020468124999999983,0.009583999999999999,0.013376000000000002,0.0037920000000000037,0.7471928136028232,0.7178932178932179,-2.9299595709605275,81.25,80.0,100.0,0
5,mark_coarsen,100,0.027503000001161126,0.04114600000320934,0.013643000002048211,0.026739,0.038441,0.011702000000000004,0.02313325,0.0263295,0.0031962499999999977,0.006626,0.016376,0.009750000000000002,0.5634934497816594,0.5731104308923947,0.9616981110735279,81.25,80.0,100.0,0
2,heat_update,200,181.83182099999976,194.44011400000454,12.608293000004778,181.630363,186.412328,4.781965000000014,120.2025264375,153.0930038125,32.890477375,121.896502,80.048133,-41.84836899999999,0.764055799448006,0.7800233292211682,1.5967529773162292,65.0,30.0,100.0,16
3,importance,200,0.2941260000006878,0.38126099999499274,0.08713499999430496,0.293691,0.379704,0.086013,0.2109098125,0.2319391875,0.021029375000000017,0.17837999999999998,0.242578,0.064198,0.697980576113572,0.6951252619049276,-0.2855314208644377,67.5,30.0,100.0,0
4,mark_refine,200,0.030765000003157184,0.048468999993929174,0.01770399999077199,0.029075,0.039893,0.010817999999999998,0.0225148125,0.025352625,0.002837812500000002,0.008886999999999999,0.017842999999999998,0.008955999999999999,0.7660634235430849,0.7200074170220656,-4.605600652101927,62.5,60.0,100.0,0
5,mark_coarsen,200,0.029538999995565973,0.04161499999463558,0.012075999999069609,0.028772,0.03838,0.009607999999999998,0.025824125,0.026202312499999998,0.0003781874999999983,0.006905999999999999,0.016798999999999998,0.009892999999999999,0.5602533378979802,0.5914156004952538,3.1162262597273616,71.25,60.0,100.0,0
2,heat_update,300,182.5485039999985,186.38502600000356,3.8365220000050613,182.310664,181.592938,-0.717725999999999,120.444973,152.0456059375,31.600632937499995,122.67727500000001,75.69635600000001,-46.980919,0.764062217832752,0.7808791133427493,1.681689550999732,65.0,30.0,100.0,16
3,importance,300,0.2953830000042217,0.3574769999977434,0.06209399999352172,0.294277,0.356938,0.06266099999999997,0.21049075,0.2232958125,0.012805062499999992,0.17567,0.22172899999999998,0.04605899999999999,0.6969078280302664,0.7012563596718928,0.43485316416264075,62.5,20.0,100.0,0
4,mark_refine,300,0.03278300000238232,0.04783499999757623,0.01505199999519391,0.030763,0.039899,0.009135999999999998,0.0242898125,0.0250566875,0.0007668750000000002,0.00895,0.018064999999999998,0.009114999999999998,0.757641196013289,0.7538089929394277,-0.383220307386134,43.75,40.0,100.0,0
5,mark_coarsen,300,0.028797999999369495,0.042310999997425824,0.01351299999805633,0.028178,0.038816,0.010638000000000002,0.024870625,0.0259489375,0.0010783125000000011,0.0066380000000000015,0.017268000000000002,0.01063,0.5792021365381406,0.5881421534130894,0.8940016874948831,66.25,50.0,100.0,0
2,heat_update,400,182.68872799999372,178.76683399999456,-3.921893999999156,182.500708,173.140853,-9.35985500000001,120.7016481875,151.3015480625,30.59989987499999,123.310939,66.652041,-56.65889800000001,0.7637442512049354,0.7811631348388541,1.7418883633918747,65.0,30.0,100.0,16
3,importance,400,0.30361899999843445,0.29545199999120086,-0.008167000007233582,0.302893,0.293797,-0.009096000000000048,0.2121418125,0.2193805625,0.007238749999999988,0.18477700000000002,0.16107999999999997,-0.02369700000000005,0.6956837417713116,0.7025388142991326,0.6855072527820916,60.0,20.0,100.0,0
4,mark_refine,400,0.0308870000008028,0.047563000000081956,0.016675999999279156,0.02874,0.040922,0.012181999999999998,0.022594812500000002,0.0248480625,0.0022532499999999983,0.008611,0.018971000000000002,0.010360000000000001,0.7857992186172923,0.7720972097209721,-1.3702008896320228,34.375,30.0,100.0,0
5,mark_coarsen,400,0.02704099999391474,0.04077500000130385,0.013734000007389113,0.027036,0.037942,0.010905999999999996,0.0230379375,0.0257545625,0.0027166250000000003,0.007175000000000001,0.016348999999999995,0.009173999999999995,0.5534972852123922,0.5807758217790934,2.7278536566701206,65.625,40.0,100.0,0
2,heat_update,500,177.90730799999437,176.1860799999995,-1.7212279999948805,177.723861,170.811168,-6.91269299999999,117.9891000625,148.9707050625,30.981605000000002,118.90507,66.471523,-52.43354699999999,0.7613587240447468,0.7781231739073529,1.6764449862606057,65.0,30.0,100.0,16
