kind,rank,region_id,region,region_exec,measure_wall_ms,resctrl_wall_ms,delta_wall_ms,delta_wall_pct,measure_max_thread_ms,resctrl_max_thread_ms,delta_max_thread_ms,measure_mean_thread_ms,resctrl_mean_thread_ms,delta_mean_thread_ms,measure_imbalance_ms,resctrl_imbalance_ms,delta_imbalance_ms,measure_llc_miss_rate,resctrl_llc_miss_rate,delta_llc_miss_rate_pct_point,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_threads,resctrl_enabled_threads
win,1,2,heat_update,900,150.30594900000142,149.332304999989,-0.9736440000124276,-0.6477747597418239,149.389898,143.822077,-5.567820999999981,105.32890524999999,126.282663875,20.953758625000006,94.51082,48.48578400000001,-46.025035999999986,0.7323444157978125,0.7602111673929632,2.786675159515073,68.125,30.0,100.0,16,16
win,2,2,heat_update,1100,133.43672800000058,133.16738699999405,-0.26934100000653416,-0.2018492240056523,132.415053,126.974091,-5.440961999999999,96.618586375,117.4446605625,20.826074187499998,78.538995,35.137322999999995,-43.401672000000005,0.7088501505989447,0.7405735992573307,3.1723448658385944,68.125,30.0,100.0,16,16
win,3,3,importance,1400,0.22217100000125356,0.21103299999958836,-0.011138000001665205,-5.013255556126749,0.221318,0.20896,-0.01235799999999998,0.172505125,0.1701333125,-0.0023718125000000145,0.12451699999999999,0.095141,-0.029375999999999985,0.6280528557739538,0.6124431004551963,-1.5609755318757412,60.0,20.0,100.0,0,0
win,4,3,importance,1800,0.19205900002270937,0.18385500001022592,-0.008204000012483448,-4.271604044337101,0.191872,0.183194,-0.008677999999999991,0.155798375,0.153204,-0.002594374999999982,0.10088599999999999,0.08250199999999999,-0.018383999999999998,0.5846556784056784,0.5277801485021764,-5.687552990350209,58.75,20.0,100.0,0,0
win,5,3,importance,1700,0.1990280000027269,0.1924799999978859,-0.006548000004841015,-3.289989350619661,0.197844,0.190325,-0.007518999999999998,0.1576206875,0.158278875,0.0006581875000000181,0.10593699999999999,0.08446999999999999,-0.021467,0.5894952552634264,0.5401919210690814,-4.930333419434496,60.0,20.0,100.0,0,0
win,6,3,importance,1600,0.19897800000035204,0.19352199998684227,-0.005456000013509765,-2.742011686467907,0.197962,0.190974,-0.006987999999999994,0.1586154375,0.1585255625,-8.987500000001702e-05,0.113964,0.08612500000000001,-0.02783899999999999,0.597887800921474,0.559575748457951,-3.8312052463522983,60.0,20.0,100.0,0,0
win,7,3,importance,1200,0.23608600001898594,0.23211799998534843,-0.003968000033637509,-1.6807434720052878,0.23529,0.229503,-0.005786999999999987,0.180020375,0.180485125,0.000464749999999986,0.140314,0.11505500000000002,-0.025258999999999976,0.6551364559582267,0.6421032223040831,-1.303323365414355,60.0,20.0,100.0,0,0
win,8,3,importance,900,0.2661940000252798,0.2624669999931939,-0.0037270000320859253,-1.4001067010270631,0.26552,0.261189,-0.004330999999999974,0.1928966875,0.1962835,0.0033868125000000027,0.16542599999999996,0.13754100000000002,-0.027884999999999938,0.6772834625265605,0.668639312963139,-0.864414956342141,60.0,20.0,100.0,0,0
win,9,3,importance,1000,0.25920299999415874,0.25603400002000853,-0.0031689999741502106,-1.2225938643540488,0.2585,0.25518,-0.0033199999999999896,0.190074625,0.197535625,0.007460999999999995,0.159719,0.13223000000000001,-0.027488999999999986,0.6756872304519033,0.6691951179529976,-0.6492112498905689,60.0,20.0,100.0,0,0
win,10,5,mark_coarsen,1400,0.03206199998385273,0.02929999999469146,-0.002761999989161268,-8.614559261905946,0.031707,0.026682,-0.005024999999999998,0.0272988125,0.0241314375,-0.003167375,0.008167999999999998,0.005049000000000001,-0.0031189999999999968,0.38447932787972583,0.4577599388379205,7.328061095819466,61.25,40.0,100.0,0,0
